timestamp,city,temp_mean,hum_mean,wind_mean,demand_sum,demand_mean
2018-07-01,la,69.01882352941176,0.6776470588235294,4.138235294117647,209005.0,12294.411764705883
2018-07-01,phoenix,87.09,0.13999999999999999,3.3570588235294117,72914.0,4289.058823529412
2018-07-01,san diego,65.68058823529412,0.721764705882353,5.027647058823529,31713.0,1865.4705882352941
2018-07-01,san jose,69.9735294117647,0.6158823529411765,5.289411764705882,230370.0,13551.176470588236
2018-07-01,seattle,59.63764705882353,0.8664705882352941,4.45235294117647,16062.0,944.8235294117648
2018-07-08,dallas,86.56337423312884,0.5682822085889571,6.5696319018404905,2830777.96,17366.735950920247
2018-07-08,houston,81.62588957055215,0.7542331288343558,4.3579754601227,2219675.07,13617.638466257667
2018-07-08,la,78.04910714285714,0.5103571428571428,5.0460714285714285,2475925.0,14737.64880952381
2018-07-08,nyc,77.86506097560977,0.6975609756097562,6.9105487804878045,1270418.0,7746.451219512195
2018-07-08,philadelphia,79.22591463414633,0.6666463414634146,4.198475609756097,914155.0,5574.115853658536
2018-07-08,phoenix,96.8514880952381,0.1705952380952381,3.889940476190476,815253.0,4852.696428571428
2018-07-08,san antonio,82.91429447852761,0.6941717791411043,6.376073619631901,1319107.08,8092.681472392638
2018-07-08,san diego,72.88470238095238,0.6441071428571429,5.355833333333333,425167.0,2530.7559523809523
2018-07-08,san jose,69.7995238095238,0.5701785714285714,6.223630952380952,2162208.0,12870.285714285714
2018-07-08,seattle,65.1372619047619,0.6461904761904762,4.592499999999999,160284.0,954.0714285714286
2018-07-15,dallas,84.62208333333334,0.641904761904762,6.069226190476191,2850351.28,16966.376666666667
2018-07-15,houston,84.13904761904762,0.7229166666666667,3.666845238095238,2438785.58,14516.580833333333
2018-07-15,la,78.32809523809524,0.5720833333333333,4.819642857142857,2675290.0,15924.345238095239
2018-07-15,nyc,77.23583333333333,0.6101190476190477,7.013809523809523,1236510.0,7360.178571428572
2018-07-15,philadelphia,77.25,0.46,3.98,3603.0,3603.0
2018-07-15,phoenix,88.23619047619047,0.4924404761904762,3.525119047619048,725677.0,4319.505952380952
2018-07-15,san antonio,82.96285714285715,0.6917261904761905,7.880416666666667,1370465.28,8157.5314285714285
2018-07-15,san diego,73.90869047619047,0.729107142857143,5.043511904761904,459179.0,2733.2083333333335
2018-07-15,san jose,72.13642857142857,0.5495833333333333,5.8150595238095235,2404249.0,14311.005952380952
2018-07-15,seattle,68.80011904761905,0.6178571428571429,4.65625,171359.0,1019.9940476190476
2018-07-22,dallas,93.914125,0.40862499999999996,7.4931875,3169494.61,19809.3413125
2018-07-22,houston,86.6344375,0.6923125,7.0000625,2495573.16,15597.332250000001
2018-07-22,la,75.0103144654088,0.6596855345911949,4.966603773584906,2453406.0,15430.22641509434
2018-07-22,nyc,75.7134375,0.684625,8.93575,1171030.0,7318.9375
2018-07-22,phoenix,93.092875,0.3865,4.0433125,767913.0,4799.45625
2018-07-22,san antonio,86.9745,0.607625,8.1789375,1448907.67,9055.6729375
2018-07-22,san diego,71.84666666666668,0.7524528301886793,5.224779874213836,413532.0,2600.830188679245
2018-07-22,san jose,71.9393710691824,0.6166666666666667,5.427672955974843,2309337.0,14524.132075471698
2018-07-22,seattle,67.3100625,0.6100000000000001,4.366687499999999,162359.0,1014.74375
2018-07-29,dallas,91.51751773049645,0.39347517730496456,5.492269503546099,2643720.62,18749.791631205673
2018-07-29,houston,87.43652482269503,0.6012765957446808,4.91886524822695,2215756.71,15714.58659574468
2018-07-29,la,79.25521472392639,0.5928220858895705,4.457668711656442,2745447.0,16843.233128834356
2018-07-29,nyc,76.87957055214724,0.8123312883435583,9.343496932515338,1246920.0,7649.815950920245
2018-07-29,phoenix,98.87466257668711,0.25349693251533745,3.8082208588957056,862056.0,5288.687116564417
2018-07-29,san antonio,87.64921428571428,0.5212142857142857,5.644857142857143,1282784.61,9162.747214285715
2018-07-29,san diego,74.67705521472394,0.7346625766871165,4.681472392638037,466361.0,2861.1104294478528
2018-07-29,san jose,70.80932098765433,0.598641975308642,5.945308641975308,2362634.0,14584.160493827161
2018-07-29,seattle,73.05185185185185,0.556358024691358,4.188395061728395,173888.0,1073.3827160493827
2018-08-05,dallas,84.79232142857143,0.4644642857142857,6.6344642857142855,2816848.11,16766.953035714287
2018-08-05,houston,84.04440476190476,0.6732738095238096,4.701130952380952,2440516.08,14526.881428571429
2018-08-05,la,78.91178571428571,0.5466071428571428,4.591785714285714,2769654.0,16486.035714285714
2018-08-05,nyc,78.37511904761905,0.7513095238095238,6.794464285714286,1314787.0,7826.113095238095
2018-08-05,phoenix,96.1882738095238,0.32666666666666666,3.4642261904761904,858912.0,5112.571428571428
2018-08-05,san antonio,84.91692771084337,0.5620481927710843,6.662831325301204,1413303.92,8513.879036144577
2018-08-05,san diego,76.45767857142857,0.7080357142857143,4.449940476190476,497611.0,2961.970238095238
2018-08-05,san jose,71.12880952380952,0.5378571428571428,5.320059523809523,2349826.0,13987.059523809523
2018-08-05,seattle,67.39904761904761,0.7024404761904762,5.785892857142857,168054.0,1000.3214285714286
2018-08-12,dallas,83.31720238095238,0.6519642857142858,6.85172619047619,2747239.36,16352.615238095237
2018-08-12,houston,83.66568862275449,0.7424550898203593,4.259880239520958,2404747.79,14399.687365269461
2018-08-12,la,81.03303571428572,0.491547619047619,4.5841666666666665,2792974.0,16624.845238095237
2018-08-12,nyc,80.22089285714286,0.740654761904762,5.91875,1400021.0,8333.458333333334
2018-08-12,phoenix,91.70815476190475,0.3668452380952381,3.8844047619047624,808635.0,4813.303571428572
